epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1689.53,0.8629,0.50673,1.04952,0.96803,0.93613,0.97005,0.68291,1.03385,0.48502,1.16457,0.000396246,0.000396246,0.000396246
79,1710.63,0.86931,0.50153,1.05586,0.97556,0.93674,0.97527,0.6869,1.02733,0.48186,1.16511,0.000379743,0.000379743,0.000379743
80,1731.79,0.86578,0.50315,1.05526,0.95721,0.93833,0.97022,0.68326,1.02142,0.48105,1.15524,0.000363239,0.000363239,0.000363239
81,1752.31,0.85158,0.49921,1.05236,0.97371,0.93898,0.96967,0.68553,1.02641,0.48189,1.15962,0.000346736,0.000346736,0.000346736
82,1773.54,0.85221,0.49475,1.05029,0.96276,0.94003,0.96497,0.69472,1.00135,0.46045,1.14236,0.000330233,0.000330233,0.000330233
83,1794.53,0.84026,0.49274,1.04724,0.96353,0.93986,0.96593,0.68848,1.02663,0.47924,1.15844,0.000313729,0.000313729,0.000313729
84,1815.4,0.84752,0.49796,1.04588,0.96564,0.93518,0.97325,0.7021,1.00209,0.45164,1.14888,0.000297226,0.000297226,0.000297226
85,1837.12,0.84032,0.48693,1.04605,0.96766,0.9429,0.97715,0.69745,1.01642,0.46135,1.15461,0.000280723,0.000280723,0.000280723
86,1857.12,0.828,0.48052,1.0424,0.97712,0.93075,0.97317,0.69767,1.00976,0.47509,1.15124,0.00026422,0.00026422,0.00026422
87,1878.43,0.82419,0.47337,1.02855,0.97147,0.94576,0.97664,0.69666,0.99724,0.46002,1.14007,0.000247716,0.000247716,0.000247716
88,1900.37,0.83336,0.47272,1.03161,0.9766,0.93705,0.97293,0.69515,1.00061,0.44863,1.13694,0.000231213,0.000231213,0.000231213
89,1920.32,0.80744,0.45944,1.01597,0.96382,0.94879,0.97609,0.69975,0.99858,0.44591,1.13747,0.00021471,0.00021471,0.00021471
90,1942.68,0.82385,0.47267,1.02926,0.96834,0.9437,0.97595,0.69594,0.98945,0.43874,1.13226,0.000198206,0.000198206,0.000198206
91,1969.8,0.77457,0.40273,0.99892,0.9673,0.93828,0.97091,0.69308,1.02853,0.44754,1.1528,0.000181703,0.000181703,0.000181703
92,1991.73,0.75948,0.38563,0.98832,0.9714,0.94304,0.9744,0.69796,0.99827,0.44724,1.13783,0.0001652,0.0001652,0.0001652
93,2012.15,0.73823,0.38076,0.97632,0.97115,0.94937,0.97297,0.70349,0.99446,0.439,1.14079,0.000148696,0.000148696,0.000148696
94,2032.53,0.74191,0.37685,0.98399,0.97417,0.94691,0.9706,0.69832,0.9931,0.43953,1.13853,0.000132193,0.000132193,0.000132193
95,2052.16,0.73313,0.3688,0.97261,0.97759,0.94412,0.97076,0.70165,0.98876,0.43575,1.13547,0.00011569,0.00011569,0.00011569
96,2072.84,0.72438,0.37076,0.96443,0.97469,0.94726,0.97304,0.69674,0.99784,0.44144,1.14616,9.91865e-05,9.91865e-05,9.91865e-05
97,2091.9,0.72013,0.36265,0.96459,0.97443,0.94365,0.97208,0.69762,0.99109,0.43807,1.14,8.26832e-05,8.26832e-05,8.26832e-05
98,2112.16,0.70667,0.35904,0.9525,0.9776,0.94461,0.97366,0.70107,0.99237,0.43638,1.14437,6.61799e-05,6.61799e-05,6.61799e-05
99,2131.84,0.71475,0.36817,0.96252,0.97727,0.94649,0.97453,0.70204,0.99495,0.431,1.14878,4.96766e-05,4.96766e-05,4.96766e-05
100,2151.88,0.69499,0.35831,0.95117,0.98126,0.94137,0.97344,0.70097,0.99328,0.4339,1.14758,3.31733e-05,3.31733e-05,3.31733e-05
